Epoch,Training Loss,Validation Loss,Accuracy
1,No log,0.000349,1
2,No log,0.000069,1
3,No log,0.000039,1
4,No log,0.00003,1
5,No log,0.000026,1
6,No log,0.000023,1
7,No log,0.000021,1
8,No log,0.00002,1
9,No log,0.000018,1
10,No log,0.000017,1
11,No log,0.000016,1
12,No log,0.000015,1
13,No log,0.000014,1
14,No log,0.000013,1
15,No log,0.000013,1
16,No log,0.000012,1
17,No log,0.000012,1
18,No log,0.000011,1
19,No log,0.000011,1
20,No log,0.00001,1
21,No log,0.00001,1
22,No log,0.000009,1
23,No log,0.000009,1
24,No log,0.000009,1
25,No log,0.000008,1
26,No log,0.000008,1
27,No log,0.000008,1
28,No log,0.000008,1
29,No log,0.000007,1
30,No log,0.000007,1
31,No log,0.000007,1
32,No log,0.000007,1
33,No log,0.000007,1
34,No log,0.000006,1
35,No log,0.000006,1
36,No log,0.000006,1
37,No log,0.000006,1
38,No log,0.000006,1
39,0.005,0.000006,1
40,0.005,0.000005,1
41,0.005,0.000005,1
42,0.005,0.000005,1
43,0.005,0.000005,1
44,0.005,0.000005,1
45,0.005,0.000005,1
46,0.005,0.000005,1
47,0.005,0.000005,1
48,0.005,0.000005,1
49,0.005,0.000005,1
50,0.005,0.000005,1
51,0.005,0.000004,1
52,0.005,0.000004,1
53,0.005,0.000004,1
54,0.005,0.000004,1
55,0.005,0.000004,1
56,0.005,0.000004,1
57,0.005,0.000004,1
58,0.005,0.000004,1
59,0.005,0.000004,1
60,0.005,0.000004,1
61,0.005,0.000004,1
62,0.005,0.000004,1
63,0.005,0.000004,1
64,0.005,0.000004,1
65,0.005,0.000004,1
66,0.005,0.000004,1
67,0.005,0.000004,1
68,0.005,0.000004,1
69,0.005,0.000003,1
70,0.005,0.000003,1
71,0.005,0.000003,1
72,0.005,0.000003,1
73,0.005,0.000003,1
74,0.005,0.000003,1
75,0.005,0.000003,1
76,0.005,0.000003,1
77,0,0.000003,1
78,0,0.000003,1
79,0,0.000003,1
80,0,0.000003,1
81,0,0.000003,1
82,0,0.000003,1
83,0,0.000003,1
84,0,0.000003,1
85,0,0.000003,1
86,0,0.000003,1
87,0,0.000003,1
88,0,0.000003,1
89,0,0.000003,1
90,0,0.000003,1
91,0,0.000003,1
92,0,0.000003,1
93,0,0.000003,1
94,0,0.000003,1
95,0,0.000003,1
96,0,0.000003,1
97,0,0.000003,1
98,0,0.000003,1
99,0,0.000003,1
100,0,0.000003,1
